PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
3356;Iglesia Catedral de las Fuerzas Armadas;;;;Metro: Ópera (Líneas 2, 5 y Ramal).  Bus: 31, 50, 65.  Bicimad: Estaciones 166 (calle Segovia, 26), 35 (plaza del Cordón, 1), 36 (plaza de Ramales), 9 (plaza de San Miguel, 9).;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=23e03d232e91f010VgnVCM1000000b205a0aRCRD;SACRAMENTO;CALLE;V;11;;;;;MADRID;MADRID;28005;PALACIO;CENTRO;439571;4474051;40.414.889.947.123.700;-37.122.600.779.776.700;915 473 624;;;/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos; 
3734;Iglesia Convento del Santísimo Cristo del Pardo;;;;;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f4961e79ee71c010VgnVCM1000000b205a0aRCRD;CRISTO DE EL PARDO;PISTA;V;11;;;;;MADRID;MADRID;28048;EL PARDO;FUENCARRAL-EL PARDO;433197;4485709;4.051.942.057.602.380;-37.886.096.812.339.300;913 760 800;;administracion@cristodelpardo.com;/contenido/entidadesYorganismos/TemplosIglesiasCatolicas; 
3363;Iglesia Corpus Christi;;;;Metro: Ópera (Líneas Ramal, 2 y 5), La Latina (Línea 5), Tirso de Molina (línea 1), Sol (líneas 1, 2 y 3).  Bus: 31, 50, 65.  Cercanías Renfe: Sol (líneas C3 y C4).  Bicimad: Estaciones 35 (plaza del Cordón) y 9 (plaza de San Miguel, 9).;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e5f03d232e91f010VgnVCM1000000b205a0aRCRD;CONDE DE MIRANDA;PLAZA;V;3;;;;;MADRID;MADRID;28005;PALACIO;CENTRO;439778;4474041;4.041.481.486.646.870;-37.098.194.568.632.300;915 483 701;;;/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos; 
3480;Iglesia Cristo Rey de Argüelles;;;;"Metro: Arg&amp;uuml;elles (líneas 3, 4 y 6), Moncloa (líneas 3 y 6).  Bus: 62, 74.  Bicimad: Estación 117 (calle Altamirano, 24).  Aparcamiento: Marqués de Urqujo (63) Marqués de Urquijo entre calle Princesa y calle Juan Álvarez de Mendizabal.";;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=94d213db5b71c010VgnVCM1000000b205a0aRCRD;MARTIN DE LOS HEROS;CALLE;V;91;;;;;MADRID;MADRID;28008;ARGUELLES;MONCLOA-ARAVACA;439025;4476146;4.043.185.004.573.440;-3.720.161.174.548.790;915 497 544;;;/contenido/entidadesYorganismos/TemplosIglesiasCatolicas; 
3573;Iglesia de Nuestra Señora de las Maravillas;;;;Metro: Tribunal (líneas 1 y 10), Bilbao (líneas 1 y 4), Noviciado (línea 2), San Bernardo (líneas 2 y 4).  Bus: 002, 147.  Bicimad: Estaciones 11 (calle San Andrés, 18), 59 (calle Espíritu Santo, 30).;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dcd63d232e91f010VgnVCM1000000b205a0aRCRD;DOS DE MAYO;CALLE;V;11;;;;;MADRID;MADRID;28004;UNIVERSIDAD;CENTRO;440263;4475329;4.042.645.802.536.700;-37.042.148.078.055.000;910 115 565;;;/contenido/entidadesYorganismos/TemplosIglesiasCatolicas; 
3743;Iglesia de San Antón;;;;Metro: Chueca (línea 5), Tribunal (líneas 1 y 10), Alonso Martínez (líneas 4, 5 y 10).  Bus: 3.  Bicimad: Estación 6 (calle Hortaleza, 63).  Aparcamiento: Aparcamiento Escuelas de San Antón (91) Santa Brígida.;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2f213d232e91f010VgnVCM1000000b205a0aRCRD;HORTALEZA;CALLE;V;63;;;;;MADRID;MADRID;28004;JUSTICIA;CENTRO;440751;4475069;4.042.413.633.753.990;-36.984.592.609.651.200;915 215 781;;;/contenido/entidadesYorganismos/TemplosIglesiasCatolicas; 
18313;Iglesia del Espíritu Santo;;;;Metro: República Argentina (Línea 6).  Bus: 16, 19, 51.  Bicimad: Estación 250 (calle Serrano, 113B).;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=22413d232e91f010VgnVCM1000000b205a0aRCRD;SERRANO;CALLE;V;125;;;;;MADRID;MADRID;28006;EL VISO;SALAMANCA;441811;4477035;40.441.930.828.600.400;-36.861.445.665.284.100;915 632 024;;info@iglesiaespiritusanto.com;/contenido/entidadesYorganismos/TemplosIglesiasCatolicas; 
3736;Iglesia Esclavas del Sagrado Corazón de Jesús;;;;Metro: Iglesía (línea 1).  Bus: 16, 5, 61, 3, 37.  Bicimad: Estaciones 246 (calle Santa Engracia, 87), 125 (calle Fernández de la Hoz, 29).;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=25513d232e91f010VgnVCM1000000b205a0aRCRD;GENERAL MARTINEZ CAMPOS;PASEO;V;10;;;;;MADRID;MADRID;28010;ALMAGRO;CHAMBERI;440856;4476258;4.043.486.534.899.850;-36.973.162.781.599.900;914 466 015;;;/contenido/entidadesYorganismos/TemplosIglesiasCatolicas; 
18321;Iglesia Madres Dominicas (Monasterio Santo Domingo el Real);;;;Metro: Núñez de Balboa (líneas 5 y 9).  Bus: 61, 16, 19, 51, 9.  Bicimad: Estación 190 (calle Velázquez, 91).;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=02306f065851c010VgnVCM2000000c205a0aRCRD;CLAUDIO COELLO;CALLE;V;112;;;;;MADRID;MADRID;28006;CASTELLANA;SALAMANCA;441877;4476322;4.043.551.247.413.870;-36.852.893.701.013.200;915 635 542;;;/contenido/entidadesYorganismos/TemplosIglesiasCatolicas; 
60210;Iglesia Nuestra Señora de la Bien Aparecida;;;;Metro: Ibiza (línea 9), Sainz de Baranda (línea 6, 9).  Bus: 26, 61, 63, C2, 15, 2, 215,   Bicimad: Estación 71 (calle Doce de Octubre, 28).;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=edf28ed67151c010VgnVCM2000000c205a0aRCRD;PIO BAROJA;CALLE;V;2;;;;;MADRID;MADRID;28009;NIÑO JESUS;RETIRO;442758;4474069;4.041.528.491.290.420;-3.674.697.191.666.300;915 044 363;;;/contenido/entidadesYorganismos/TemplosIglesiasCatolicas; 
190377;Iglesia Nuestra Señora de la Paz;;;;Metro: O'Donnell (Línea 6).  Bus:143, 156, 2, 30, 56, 203, 28, E2, E3, E4, E5, 71.  Bicimad: Estaciones 101 (calle Jorge Juan, 131), 62 (calle O'Donell, 50).;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b207f5177659f010VgnVCM2000000c205a0aRCRD;DOCTOR ESQUERDO;CALLE;V;44;;;;;MADRID;MADRID;28007;IBIZA;RETIRO;443220;4474654;4.042.057.003.126.170;-3.669.306.926.466.700;;;;/contenido/entidadesYorganismos/TemplosIglesiasCatolicas; 
3577;Iglesia Nuestra Señora de Lourdes y San Justino. Iglesia de la Renovación Carismática;;;;Metro: Casa de Campo (Líneas 5 y 10).  Bus: 55, 65, 36, 39.;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=db30ef4d7f71c010VgnVCM1000000b205a0aRCRD;SAN JUAN DE MATA;CALLE;V;30;;;;;MADRID;MADRID;28011;LUCERO;LATINA;435679;4472887;4.040.410.342.889.000;-37.580.243.465.540.200;917 113 660;;;/contenido/entidadesYorganismos/TemplosIglesiasCatolicas; 
60211;Iglesia Nuestra Señora de Montserrat;;;;Metro: San Bernardo, (Líneas 2 y 4), Bilbao (Líneas 1 y 4).  Bus: 147, 3, 21, C03.  Bicimad: Estación 12 (calle San Bernardo, 85).;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=70138ed67151c010VgnVCM2000000c205a0aRCRD;SAN BERNARDO;CALLE;V;79;;;;;MADRID;MADRID;28015;UNIVERSIDAD;CENTRO;440071;4475463;4.042.764.597.271.770;-370.651.199.134.605;914 471 250;;;/contenido/entidadesYorganismos/TemplosIglesiasCatolicas; 
18320;Iglesia Padre Trinitarios;;;;Metro: Antón Martín (línea 1), Sol (líneas 1, 2 y 3).  Bus: 002, M1, 26, 32, 6.  Cercanías Renfe: Sol (líneas C3, C4 y Regional).  Bicimad: Estación 52 (plaza de Santa Ana, 10).  Aparcamiento: Plaza de Santa Ana (77).;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7f106f065851c010VgnVCM2000000c205a0aRCRD;ECHEGARAY;CALLE;V;30;;;;;MADRID;MADRID;28014;CORTES;CENTRO;440755;4474166;40.414.129.374.303.200;-3.699.605.145.747.940;914 295 689;;;/contenido/entidadesYorganismos/TemplosIglesiasCatolicas; 
3365;Iglesia San Antonio de los Alemanes;;;;Metro: Callao (líneas 3 y 5), Gran Vía (líneas 1 y 5), Noviciado (línea 2), Santo Domingo (línea 2), Chueca (línea 5), Tribunal (líneas 1 y 10).  Bus: 002.  Bicimad: Estación 52 (plaza Santa Ana, 10).  Aparcamiento: Barco 1 (88), calle Barco.;Descripción monumental:  Proyectada por Pedro Sánchez, año 1624 y Francisco Seseña, año 1624 - 1633. Fachada, por Juan Gómez de Mora, año 1624 - 1630. Fundación de Felipe III, 1606. Magnífico ejemplo del Barroco madrileño con interesantes elementos arquitectónicos y frescos en paredes y cúpula que forman una unidad de espacio irreal. La gran cúpula oval, decorada con arquitecturas fingidas y escenas de la Apoteosis de San Francisco de Paula, de Francisco Ricci y Carreño de Miranda,refuerza esta impresión.  Lucas Jordán, sin pauta de continuidad, decora los muros curvos con escenas de la vida del San Antonio.  El retablo mayor, de mediados del siglo XVIII, es obra del arquitecto Miguel Fernández con el escultor Francisco Gutiérrez. Obra compleja, fue replanteada por Juan Gómez de Mora quien redibujó la fachada. Muestra un edificio anexo en ladrillo y planta triangular para la Hermandad del Refugio y Piedad de Madrid, fundada en 1615 con su tradicional 'ronda del pan y huevo'.  Dicho edificio data de la década de 1880, quizá por Ruiz de Salces quien proyectó la reforma de la fachada buscando la armonía total.;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=614013db5b71c010VgnVCM1000000b205a0aRCRD;CORREDERA BAJA DE SAN PABLO;CALLE;V;16;;;;;MADRID;MADRID;28004;UNIVERSIDAD;CENTRO;440321;4474907;4.042.265.490.186.250;-37.034.981.611.686.300;915 223 774;;;/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos; 
18319;Iglesia San Ignacio de los Vascos;;;;Metro: Antón Martín (Línea,1), Sol (líneas 1, 2 y 3).  Bus: 002, M1, 26, 32, 6.  Cercanías Renfe: Sol (líneas C3, C4 y Regional).  Bicimad: Estación 52 (plaza Santa Ana, 10).  Aparcamiento: Plaza de Santa Ana (77).;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5aff6f065851c010VgnVCM2000000c205a0aRCRD;PRINCIPE;CALLE;V;31;;;;;MADRID;MADRID;28012;CORTES;CENTRO;440602;4473981;4.041.433.357.305.620;-3.700.102.295.186.210;914 297 236;;;/contenido/entidadesYorganismos/TemplosIglesiasCatolicas; 
3368;Iglesia San Ildefonso;El monumento conmemorativo alberga los restos hallados en la cripta del convento. Con la colocación de los restos de Miguel de Cervantes en la nave de la actual iglesia del siglo XVIII  se cumple la voluntad testamentaria del autor de 'El Quijote'. Miguel de Cervantes, que fue enterrado en la primitiva iglesia el 23 de abril de 1616, expresó en su última voluntad descansar allí en agradecimiento a los Trinitarios que le liberaron de los cinco años y medio de cautiverio en Argel, en manos de los piratas berberiscos.  Descripción monumental: Construido por Marcos López entre 1673 y 1688 con gran austeridad constructiva y decorativa.;;;Metro: Antón Martín (Línea 1).  Bus: 26, 32, 6, 002, M1.  Bicimad: Estaciones 27 (calle Jesús, 1), 41 (calle Atocha, 54).  Aparcamiento: Plaza de Santa Ana (77).;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4c1013db5b71c010VgnVCM1000000b205a0aRCRD;LOPE DE VEGA;CALLE;V;18;;;;;MADRID;MADRID;28014;CORTES;CENTRO;440807;4473907;4.041.367.254.153.840;-36.976.792.276.700.900;914 295 671;;;/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos; 
60228;Iglesia San José de la Montaña;;;;Metro: Rubén Darío (Línea 5) , Alonso Martínez (Línea 4, 5 y 10), Bilbao (líneas 1 y 4).  Bus: 3, 7, 147, 40.  Bicimad: Estación 122 (calle Santa Engracia, 14).  Aparcamiento: Almagro (12) calle Almagro 11.;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4d638ed67151c010VgnVCM2000000c205a0aRCRD;FERNANDEZ DE LA HOZ;CALLE;V;16;;;;;MADRID;MADRID;28010;ALMAGRO;CHAMBERI;441046;4475839;40.431.102.895.456.200;-36.950.416.528.397.300;913 101 600;;;/contenido/entidadesYorganismos/TemplosIglesiasCatolicas; 
3728;Iglesia San Martín de Tours;;;;"Metro: Callao (líneas 3 y 5), Gran Vía (líneas 1 y 5).  Bus: 001, 1, 2, 46, 74, 3, 002.  Bicimad: Estación 2 (calle Miguel de Moya, 1).  Aparcamientos: Luna-Tudescos (14) plaza de Santa María Soledad Torres Acosta con vuelta a calle Luna; Barco 1 (88) calle Barco.";;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=df661e79ee71c010VgnVCM1000000b205a0aRCRD;"DESENGA&amp;Ntilde;O";CALLE;V;26;;;;;MADRID;MADRID;28004;UNIVERSIDAD;CENTRO;440223;4474747;40.421.206.925.183.500;-3.704.641.098.245.360;915 227 266;;info@anfesanmartin.org;/contenido/entidadesYorganismos/TemplosIglesiasCatolicas; 
3732;Iglesia San Pascual;;;;"Metro: Banco de España (línea 2).  Bus: 14, 150, 27, 37, 45, 5, C03, 53, 001, 1, 146, 15, 2, 20, 203, 51, 52, 74, 9.  Cercanías Renfe: Recoletos (líneas C1, C2, C10 y Regional).  Bicimad: Estaciones 94 (paseo de Recoletos, 20), 19 (calle Prim, 2), 20a (calle Alcalá 49).  Aparcamientos: Garaje Piamonte (96) piamonte; plaza del Rey (54) plaza del Rey y calle Barquillo con calle Infantas.";;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=62861e79ee71c010VgnVCM1000000b205a0aRCRD;RECOLETOS;PASEO;V;11;;;;;MADRID;MADRID;28004;JUSTICIA;CENTRO;441224;4474733;4.042.115.211.611.730;-36.928.410.119.657.900;915 311 841;;;/contenido/entidadesYorganismos/TemplosIglesiasCatolicas; 
3346;Iglesia San Pedro el Viejo;;;;Metro: La Latina (Línea 5) Tirso de Molina (Línea 1).  Bus: 31, 50, 65.  Bicimad: Estación 35 (plaza del Cordón).;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f35013db5b71c010VgnVCM1000000b205a0aRCRD;NUNCIO;CALLE;V;14;;;;;MADRID;MADRID;28005;PALACIO;CENTRO;439762;4473863;4.041.320.112.124.680;-371.000.286.701.288;913 692 037;;;/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos; 
18314;Madres Carmelitas - Maravillas (capilla);;;;Metro: Velázquez (línea 4) , Goya (Líneas 2 y 4), Príncipe de Vergara (líneas 2 y 9).  Bus: 29, 52, 21, 53.  Bicimad: Estación 91 (calle Hermosilla, 70).;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=eb113d232e91f010VgnVCM1000000b205a0aRCRD;PRINCIPE DE VERGARA;CALLE;V;23;;;;;MADRID;MADRID;28001;RECOLETOS;SALAMANCA;442289;4475215;40.425.568.693.198.200;-36.803.433.622.264.900;914 353 932;;;/contenido/entidadesYorganismos/TemplosIglesiasCatolicas; 
3364;Monasterio de Benedictinas;;;;Metro: Noviciado (línea 2), Santo domingo (línea 2), Callao (líneas 3 y 5), Gran Vía (líneas 1 y 5).  Bus: 002.  Bicimad: Estación 17 (plaza Carlos Carbonero, 2).  Aparcamiento: Luna-Tudescos (14) plaza Santa María Soledad Torres Acosta con vuelta calle Luna.;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b90013db5b71c010VgnVCM1000000b205a0aRCRD;SAN ROQUE;CALLE;V;9;;;;;MADRID;MADRID;28004;UNIVERSIDAD;CENTRO;440236;4474926;40.422.820.373.636.300;-3.704.504.689.941.360;915 317 999;;;/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos; 
