PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
7066102;Centro de Evangelización Anuncio de Paz;Templo evangélico;;;Metro: Nueva Numancia (línea 1)  Bus: 10, 111, 24, 310, 136, 54, 57, 58;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=17bb8105e2260410VgnVCM2000000c205a0aRCRD;PUERTO DEL MONASTERIO;CALLE;V;10;BAJO;;;;MADRID;MADRID;28053;SAN DIEGO;PUENTE DE VALLECAS;443545;4471788;4.039.477.355.030.100;-3.665.233.691.809.310;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7064897;Centro Evangélico de Restauración Aliento de Vida;Templo evangélico;;;Metro: Sierra de Guadalupe (línea 1)  Bus: 130, T31  Cercanías: Vallecas;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=03479bd56dc50410VgnVCM2000000c205a0aRCRD;PUERTO DE LAS PILAS;CALLE;V;12;;;;;MADRID;MADRID;28031;CASCO H.VALLECAS;VILLA DE VALLECAS;446793;4469998;4.037.887.387.719.390;-36.268.000.188.410.100;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
11025954;Christ International Ministries;Templo evangélico;;;Bus: 83, 133;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3ab50d28e4e5d610VgnVCM2000001f4a900aRCRD;LA ALBERCA;CALLE;V;1;;;;;MADRID;MADRID;28035;FUENTELARREINA;FUENCARRAL-EL PARDO;436372;4481073;4.047.790.731.731.750;-3.750.655.777.091.980;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
11025949;Christ Missions Evangelical Church;Templo evangélico;;;Bus: T41    Cercanías: (C4, C5)    Metro: Villaverde Alto (línea 3);;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=96350d28e4e5d610VgnVCM2000001f4a900aRCRD;CIUDAD DE FRIAS;;V;18;;;;;MADRID;MADRID;28021;VILLAVERDE ALTO C.H.;VILLAVERDE;439369;4465530;4.033.811.971.589.470;-3.713.824.312.166.020;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7064962;Comunidad Cristiana Decisión;Templo evangélico;;;Metro: Canillejas (línea 5)  Bus: 77;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6b760ac0dfc50410VgnVCM2000000c205a0aRCRD;MEQUINENZA;CALLE;V;20;local;;;;MADRID;MADRID;28022;CANILLEJAS;SAN BLAS-CANILLEJAS;448653;4477623;4.044.768.356.828.440;-3.605.497.309.069.590;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
3740;Comunidad Cristiana Eben-Ezer de la Villa de Vallecas;;;;Metro: Congosto (línea 1)  Bus: 54, 142;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=04750a47f441f010VgnVCM2000000c205a0aRCRD;SIERRA DE TORTEJADA;CALLE;V;2;;;;;MADRID;MADRID;28031;CASCO H.VALLECAS;VILLA DE VALLECAS;447525;4469177;4.037.152.812.090.630;-36.181.096.496.598.000;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7065794;Comunidad cristiana Eben-ezer de Pueblo Nuevo;;;;Bus: 105;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ac0a5ac33d160410VgnVCM2000000c205a0aRCRD;JULIAN CAMARILLO;CALLE;V;39;;;;;MADRID;MADRID;28037;SIMANCAS;SAN BLAS-CANILLEJAS;446993;4476322;4.043.586.084.470.140;-36.249.632.986.560.300;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7065892;Comunidad cristiana El Faro;Templo evangélico;;;Bus: 24, 10, 111, 310  Metro: Nueva Numancia (línea 1);;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=306150adce160410VgnVCM2000000c205a0aRCRD;SIERRA DE ALCUBIERRE;CALLE;V;2;;;;y 4;MADRID;MADRID;28053;SAN DIEGO;PUENTE DE VALLECAS;443374;4471548;4.039.261.217.147.170;-36.672.087.802.537.800;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7065996;Comunidad Cristiana Maranatha;Templo evangélico;;;Metro: Menéndez Pelayo (línea 1)    Bus: 24, 37, 54, 57, 102, 141, 152;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=429604a5d0260410VgnVCM2000000c205a0aRCRD;GRANADA;CALLE;V;8;;;;;MADRID;MADRID;28007;PACIFICO;RETIRO;442293;4472936;4.040.503.855.717.770;-36.800.894.670.027.300;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
11431015;Comunidad Cristiana Misionera Newma España;Templo evangélico;;;Bus: 22, 79;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f086eafcd367a710VgnVCM1000001d4a900aRCRD;ANGOSTA;CALLE;V;2;3ª;D;;;MADRID;MADRID;28021;VILLAVERDE ALTO C.H.;VILLAVERDE;439586;4466223;4.034.437.332.233.980;-37.113.397.899.660.100;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
11431093;Comunidad Eben-Ezer Dios Es Amor;;;;Metro: Miguel Hernández (línea 1)  Bus: 10, 144, 310, 57;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ae7498f0f567a710VgnVCM1000001d4a900aRCRD;VILLALOBOS;CALLE;V;11;;local;;;MADRID;MADRID;28018;PALOMERAS SURESTE;PUENTE DE VALLECAS;445077;4470354;40.381.966.779.984.300;-3.647.037.080.630.480;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7065908;Comunidad Evangélica de habla alemana;Templo evangélico;;;Metro: Colón (línea 4)  Bus:  27, 45, 150, 5, 14  Bicimad: Estación 104 (Paseo Castellana, 4);;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=95f550adce160410VgnVCM2000000c205a0aRCRD;CASTELLANA;PASEO;V;6;;;;;MADRID;MADRID;28046;RECOLETOS;SALAMANCA;441519;4475403;4.042.721.250.117.190;-3.689.422.328.230.450;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
11025240;Comunidad Evangélica Internacional;Templo evangélico;;;Metro: Carabanchel Alto (línea 11)  Bus: 155;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=20f07b42aed5d610VgnVCM2000001f4a900aRCRD;CIDRO;CALLE;V;14;BAJO;;;Polígono Aguacate;MADRID;MADRID;28044;BUENAVISTA;CARABANCHEL;436619;4468690;40.366.381.452.000.500;-374.651.822.287.228;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7064568;Comunidad Sendero de la Cruz (Iglesia de Celebración Cristiana);Templo evangélico;;;Metro: García Noblejas (línea 7)  Bus: 28;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f5e7efba3c850410VgnVCM1000000b205a0aRCRD;MIGUEL FLETA;CALLE;V;11;;;;;MADRID;MADRID;28037;SIMANCAS;SAN BLAS-CANILLEJAS;446447;4475886;4.043.189.156.564.130;-3.631.374.057.578.600;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7064565;Iglesia  Evangélica Bautista Pueblo Nuevo;Templo evangélico;;;Metro: Pueblo Nuevo (líneas 5, 7)    Bus: 38, 109, 113;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0304efba3c850410VgnVCM1000000b205a0aRCRD;GUTIERRE DE CETINA;CALLE;V;13;;;;;MADRID;MADRID;28017;PUEBLO NUEVO;CIUDAD LINEAL;445362;4476114;4.043.387.488.622.840;-3.644.196.517.698.970;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
3386;Iglesia Anglicana de San Jorge;Templo evangélico;;;Metro: Velazquez (línea 4)  Bus: 1, 19, 51, 74, 9;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=48047b503a71c010VgnVCM1000000b205a0aRCRD;NUÑEZ DE BALBOA;CALLE;V;43;;;;;MADRID;MADRID;28001;RECOLETOS;SALAMANCA;442084;4475343;4.042.669.852.639.710;-368.277.143.067.568;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7066142;Iglesia Asamblea Cristiana de Madrid;Templo evangélico;;;Metro: Miguel Hernández (línea 1)  Bus: 144, 103, 142, 143, 54, 58;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=03758105e2260410VgnVCM2000000c205a0aRCRD;ALORA;CALLE;V;7;y 9 Bajo;;;;MADRID;MADRID;28018;PALOMERAS SURESTE;PUENTE DE VALLECAS;445650;4470802;40.386.040.079.971.300;-364.034.744.917.085;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
11431457;Iglesia Asambleas de Dios Ministerio Madureira;Templo evangélico;;;Metro: Carabanchel Alto (línea 11)  Bus: 108, 118;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1745b5d56867a710VgnVCM1000001d4a900aRCRD;haya;CALLE;V;2;2;;;;MADRID;MADRID;28026;ALMENDRALES;USERA;440917;4470580;40.383.724.492.823.500;-36.960.683.266.163.900;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
11025964;Iglesia Bautista Calvario;Templo evangélico;;;Metro: Esperanza (línea 4)  Bus: 120, 122;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d0460d28e4e5d610VgnVCM2000001f4a900aRCRD;PALERMO;CALLE;V;28;;;;;MADRID;MADRID;28043;CANILLAS;HORTALEZA;444986;4478918;4.045.911.690.185.050;-36.488.513.828.849.700;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
11431523;Iglesia Bautista de Jesús España;Templo evangélico;;;Metro: Las Musas (línea 7)  Bus: 38, E2, 167, 48, 140;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e3998000baa7a710VgnVCM1000001d4a900aRCRD;LONGARES;CALLE;V;3;BAJA;;;;MADRID;MADRID;28022;ROSAS;SAN BLAS-CANILLEJAS;448294;4475910;4.043.222.866.060.570;-36.095.941.110.775.700;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7064915;Iglesia Bautista de Vallecas;Templo evangélico;;;Metro: Nueva Numancia (línea 1)    Bus: 136, 54, 57, 58;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=19bdb607bec50410VgnVCM2000000c205a0aRCRD;SAN VIRGILIO;CALLE;V;2;;;;y 4;MADRID;MADRID;28038;NUMANCIA;PUENTE DE VALLECAS;443731;4471883;40.395.652.155.665.400;-36.630.343.908.266.800;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
3385;Iglesia Bautista El Buen Pastor;Templo evangélico;;;Metro: Prosperidad (línea 4)  Bus: 9, 73;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=27ff13db5b71c010VgnVCM1000000b205a0aRCRD;GETAFE;PLAZA;V;1;;;;;MADRID;MADRID;28002;PROSPERIDAD;CHAMARTIN;442995;4477283;40.444.238.011.956.800;-36.721.947.831.541.400;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
11026103;Iglesia Bautista Emanuel de Madrid;Templo evangélico;;;Bus: 11, 114, 115, 200;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0b8db608d026d610VgnVCM2000001f4a900aRCRD;HERNANDEZ DE TEJADA;CALLE;V;4;;;;;MADRID;MADRID;28027;SAN PASCUAL;CIUDAD LINEAL;444755;4477556;4.044.683.079.932.280;-36.514.595.783.618.500;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
11026113;Iglesia Bíblica de Barajas;Templo evangélico;;;Metro: Barajas (línea 8)  Bus: 105, 115, 166;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=082eb608d026d610VgnVCM2000001f4a900aRCRD;CANAL DE SUEZ;CALLE;V;15;;;;;MADRID;MADRID;28042;CASCO H.BARAJAS;BARAJAS;450827;4480344;4.047.232.582.672.410;-3.580.075.615.330.760;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7064593;Iglesia CENFOL España;Templo evangélico;;;Metro: Pinar del Rey (línea 8)  Bus: 73;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=beddb8d07d850410VgnVCM1000000b205a0aRCRD;ALEJANDRO VILLEGAS;CALLE;V;34;local;;;entrada por calle Manzanar;MADRID;MADRID;28043;CANILLAS;HORTALEZA;444995;4479591;4.046.517.332.828.150;-36.488.243.746.464.300;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7064594;Iglesia Centro Cristiano Adonay;Templo evangélico;;;Metro: Cruce Villaverde (línea 3)    Bus: 116, 18, 23,123, 85, 59, 79;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e65fb8d07d850410VgnVCM1000000b205a0aRCRD;MARIA MARTINEZ OVIOL;CALLE;V;17;;B;;;MADRID;MADRID;28021;LOS ROSALES;VILLAVERDE;441298;4466846;4.035.010.688.886.280;-3.691.253.820.762.230;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7064614;Iglesia Comunidad Cristiana de Fe;;;;Metro: Plaza Castilla (líneas 1, 9 y 10)  Bus: 5, 66, 70, 107, 129, 174  Renfe: Chamartín;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5c77b8d07d850410VgnVCM1000000b205a0aRCRD;MANUEL FERRERO;CALLE;V;5;;Local estudio Danza Pasión Madrid;;;MADRID;MADRID;28036;CASTILLA;CHAMARTIN;441967;4479959;40.468.282.503.897.200;-36.845.607.169.672.000;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
18298;Iglesia Cristiana Adventista del Séptimo Día. Madrid Alenza;;;;Metro: Ríos Rosas (línea 1), Cuatro Caminos (líneas 1, 2, 6)  Bus: 45, 12, 149, 3, 37  Bicimad: Estación 130 (calle Santa Engracia, 127);;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=435f6f065851c010VgnVCM2000000c205a0aRCRD;ALENZA;CALLE;V;6;Baja;;;;MADRID;MADRID;28003;RIOS ROSAS;CHAMBERI;440594;4477227;4.044.356.545.097.690;-37.004.998.266.858.400;917 377 737;;info@aventista.es;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
190017;Iglesia Cristiana Adventista del Séptimo Día. Madrid Aluche;;;;Metro: Eugenía de Montijo (línea 5)  Bus: 31;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=08470bf21677f010VgnVCM1000000b205a0aRCRD;LOS YEBENES;CALLE;V;255;;;;;MADRID;MADRID;28047;ALUCHE;LATINA;436212;4471257;4.038.946.974.102.780;-37.515.803.449.309.400;917 377 737;;info@aventista.es;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
190024;Iglesia Cristiana Adventista del Séptimo Día. Madrid Calatrava;;;;Bus: 108, 118.;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3a870bf21677f010VgnVCM1000000b205a0aRCRD;SECOYA;CALLE;V;19;;;;POLIGONO INDUSTRIAL AGUACATE;MADRID;MADRID;28044;BUENAVISTA;CARABANCHEL;436758;4469009;4.036.926.045.846.840;-3.744.912.867.450.050;917 377 737;;info@aventista.es;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
8353139;Iglesia Cristiana Adventista del Séptimo Día. Madrid Eben-Ezer;;;;Metro: Avenida de Guadalajara (línea 2)  Bus: 4;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=925691f81c421510VgnVCM2000000c205a0aRCRD;RUSIA;CALLE;V;11;;;;;MADRID;MADRID;28022;ROSAS;SAN BLAS-CANILLEJAS;448247;4475023;4.042.423.100.660.820;-3.610.095.282.640.810;917 377 737;;info@aventista.es;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
190046;Iglesia Cristiana Adventista del Séptimo Día. Madrid Efes;;;;Metro: Urgel (línea 5)  Bus: 118;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5cb70bf21677f010VgnVCM1000000b205a0aRCRD;ALEJANDRO SANCHEZ;CALLE;V;49;;;;;MADRID;MADRID;28019;OPAÑEL;CARABANCHEL;438716;4471312;40.390.153.190.373.000;-37.220.850.553.963.800;917 377 737;;info@aventista.es;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
11417679;Iglesia Cristiana Adventista del Séptimo Día. Madrid Emaus;;;;Metro: Avenida de Guadalajara (línea 2)  Bus: 4;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f4aaeeb2dcd1a710VgnVCM1000001d4a900aRCRD;RUSIA;CALLE;V;11;;;;;MADRID;MADRID;28022;ROSAS;SAN BLAS-CANILLEJAS;448247;4475023;4.042.423.100.660.820;-3.610.095.282.640.810;917 377 737;;info@aventista.es;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
6893233;Iglesia Cristiana Adventista del Séptimo Día. Madrid Grupo Brasileños;;;;Metro: Urgel (línea 5)  Bus: 118, 119, 34, 35;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f1d689f2b4eed310VgnVCM2000000c205a0aRCRD;"MARQUESA DE ARG&amp;Uuml;ESO";CALLE;V;24;;;;;MADRID;MADRID;28019;OPAÑEL;CARABANCHEL;438564;4471455;40.391.431.883.192.300;-37.238.698.693.478.700;917 377 737;;info@aventista.es;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
8352971;Iglesia Cristiana Adventista del Séptimo Día. Madrid Horeb;;;;Metro: Carpetana (línea 6)  Bus: 17, 25;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=384fcef44b421510VgnVCM2000000c205a0aRCRD;DOCTOR ZOFIO;CALLE;V;4;;;;;MADRID;MADRID;28019;SAN ISIDRO;CARABANCHEL;437355;4471841;403.948.228.497.844;-3.738.156.333.879.840;917 377 737;;info@aventista.es;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
